Autonomic nervous system disorders;1596134;11766940;['Diseases'];2;['PUBMED|1582577', 'PUBMED|6713525']
Hysteria;22800;11766940;['Mental Illnesses'];1;['PUBMED|15636352']
Deanol;12662;483;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|14445204', 'PUBMED|14445203']
Somatostatin analog;986202;483;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Hormone'];1;['PUBMED|10961767']
Triptans;2346130;455;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|19586594', 'PUBMED|19029522']
Disease;14188;475;['Diseases'];3;['PUBMED|9847952', 'PUBMED|5747745', 'PUBMED|5747746']
Vasoactive Intestinal Peptide;45900;530;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine', 'Hormone'];3;['PUBMED|21979827', 'PUBMED|21122466', 'PUBMED|1690601']
Entire hand;1833206;411;['Body Part, Organ, or Organ Component'];1;['PUBMED|410625']
frovatriptan;1022330;483;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|21929465', 'PUBMED|15566418']
Blind Vision;584694;455;['Diseases'];1;['PUBMED|9190138']
ergoloid mesylates, USP;16352;617;['Organic Chemicals', 'Pharmacologic Substance'];1;['UMLS2012AA|MRREL']
Carotidynia;258300;11766940;['Diseases'];2;['PUBMED|7346192', 'PUBMED|556819']
Headache Disorders;469178;575;['Diseases'];1;['UMLS2012AA|MRREL']
Methylenetetrahydrofolate reductase (NADPH);83490;530;['Amino Acid, Peptide, or Protein', 'Enzyme'];1;['PUBMED|17962595']
Low Tension Glaucoma;143722;11766940;['Diseases'];1;['PUBMED|20068372']
Steroids;41756;455;['Steroid'];1;['PUBMED|17069890']
intractable hemiplegic headache;3124410;575;['Diseases'];1;['UMLS2012AA|MRREL']
Sodium;40840;530;['Biologically Active Substance', 'Element, Ion, or Isotope'];1;['PUBMED|20398637']
Exertion;16952;471;['Organism Function'];1;['PUBMED|21467933']
sporadic hemiplegic migraine headache with intractable migraine and status migrainosus;3687730;575;['Diseases'];1;['UMLS2012AA|MRREL']
Recombinant Thyroid-Stimulating Hormone;2284154;483;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Hormone'];1;['PUBMED|2272093']
Nocertone;132170;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|672606']
CP 122288;270152;483;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|8581273', 'PUBMED|7780655']
Blood Vessels;7092;411;['Body Part, Organ, or Organ Component'];1;['PUBMED|18471116']
Syndrome;42644;455;['Diseases'];2;['PUBMED|14728703', 'PUBMED|15225492']
Adenosine;2484;455;['Nucleic Acid, Nucleoside, or Nucleotide', 'Pharmacologic Substance', 'Neuroreactive Substance or Biogenic Amine'];2;['PUBMED|16886928', 'PUBMED|7715531']
Fish Oils;17950;459;['Lipid', 'Pharmacologic Substance', 'Biologically Active Substance'];1;['PUBMED|8961243']
Oxygen;32626;618;['Pharmacologic Substance', 'Element, Ion, or Isotope'];1;['UMLS2012AA|MRREL']
Silent migraine;5213692;1141;['Diseases'];1;['UMLS2012AA|MRREL']
Integumentary scale;229428;411;['Body Part, Organ, or Organ Component'];1;['PUBMED|16618265']
Metoprolol;28148;459;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|1970289']
Epithelial cell of renal tubule;738524;411;['Cell'];1;['PUBMED|10024348']
Sick Headaches;939988;1418;['Diseases'];1;['UMLS2012AA|MRREL']
Vasoactive Intestinal Peptide;45900;11766882;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine', 'Hormone'];2;['PUBMED|21914446', 'PUBMED|21122466']
retinal migraine headache with intractable migraine;3686642;530;['Diseases'];1;['UMLS2012AA|MRREL']
Cyproheptadine hydrochloride;422100;618;['Organic Chemicals', 'Pharmacologic Substance'];1;['UMLS2012AA|MRREL']
Entire external jugular vein;1828040;411;['Body Part, Organ, or Organ Component'];2;['PUBMED|19330286', 'PUBMED|8395344']
Vascular Headaches;45874;575;['Diseases'];1;['PUBMED|1115654']
palmidrol;89320;483;['Lipid', 'Pharmacologic Substance'];1;['PUBMED|17119542']
nervous system disorder;30080;11766940;['Diseases'];1;['PUBMED|7335315']
Food Allergy;18278;11766940;['Diseases'];5;['PUBMED|6155583', 'PUBMED|4088912', 'PUBMED|6351082', 'PUBMED|6105578', 'PUBMED|6105579']
Isosorbide Dinitrate;24446;483;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|9170341', 'PUBMED|9876886']
Suicide attempt;42174;11766940;['Mental Illnesses'];1;['PUBMED|22404176']
Behcet Syndrome;6172;11766940;['Diseases'];1;['PUBMED|12603366']
retinal migraine headache lower half of visual field;3341766;577;['Diseases'];1;['UMLS2012AA|MRREL']
Aphasia;4794;467;['Mental Illnesses'];1;['UMLS2012AA|MRREL']
Enkephalin, Methionine;15956;11766912;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine'];1;['PUBMED|2809630']
clopidogrel;89630;459;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|16103551']
cytokine;103770;471;['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];1;['PUBMED|1891987']
Subcortical Lesions;1196316;11766940;['Diseases'];1;['PUBMED|17040346']
Urea;45410;483;['Organic Chemicals', 'Pharmacologic Substance', 'Biologically Active Substance'];1;['PUBMED|14244389']
thylakoid (cell component);1020558;411;['Cell Component'];1;['PUBMED|6412632']
Ondansetron;76392;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|7672873']
Glutamate;227832;455;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];2;['PUBMED|19170689', 'PUBMED|21643792']
Mixed anxiety and depressive disorder;398400;11766940;['Mental Illnesses'];1;['PUBMED|20553331']
Serotonin;40026;11766912;['Organic Chemicals', 'Neuroreactive Substance or Biogenic Amine'];1;['PUBMED|2809630']
Neurotransmitters;30252;530;['Neuroreactive Substance or Biogenic Amine'];6;['PUBMED|16927961', 'PUBMED|19446275', 'PUBMED|8752392', 'PUBMED|20692105', 'PUBMED|12534577', 'PUBMED|2507160']
intractable abdominal migraine;3124408;577;['Diseases'];1;['UMLS2012AA|MRREL']
stepholidine;97726;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|1781290']
Sexual abuse;316118;11766940;['Mental Illnesses'];1;['PUBMED|17785664']
Subarachnoid Hemorrhage;42008;455;['Diseases'];2;['PUBMED|20888859', 'PUBMED|1949199']
Psychasthenic neurosis;398386;11766940;['Mental Illnesses'];1;['PUBMED|15636352']
Cerebrovascular Circulation;9224;428;['Organ or Tissue Function'];4;['PUBMED|2193447', 'PUBMED|18460006', 'PUBMED|597797', 'PUBMED|3742145']
UML-491;980470;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|5306987']
TNF gene;1094878;530;['Gene or Genome'];2;['PUBMED|12047333', 'PUBMED|19559392']
Ischemia;24312;455;['Diseases'];3;['PUBMED|3881906', 'PUBMED|2152450', 'PUBMED|15595247']
Cervicogenic Headache;586828;11766940;['Diseases'];1;['PUBMED|18494988']
hemiplegic migraine headache with status migrainosus;3688802;575;['Diseases'];1;['UMLS2012AA|MRREL']
TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 4;2710394;469;['Diseases'];1;['UMLS2012AA|MRREL']
Hemostatic function;21128;428;['Organ or Tissue Function'];1;['PUBMED|15162279']
Capsaicin;8250;530;['Lipid', 'Pharmacologic Substance'];1;['PUBMED|17593297']
Capsaicin;8250;483;['Lipid', 'Pharmacologic Substance'];2;['PUBMED|15270595', 'PUBMED|8495452']
Neurotic Disorders;30274;11766940;['Mental Illnesses'];3;['PUBMED|9100400', 'PUBMED|7672954', 'PUBMED|8797461']
Naproxen;29636;436;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|12940805']
Chronic infectious disease;142674;11766940;['Diseases'];1;['PUBMED|15147255']
classic migraine with prolonged aura with intractable migraine and status migrainosus;3686596;577;['Diseases'];1;['UMLS2012AA|MRREL']
X Chromosome;46848;411;['Cell Component'];1;['PUBMED|12849426']
Aspirin;5340;459;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|3313023', 'PUBMED|15240983']
Flunarizine;18088;483;['Organic Chemicals', 'Pharmacologic Substance'];5;['PUBMED|3553069', 'PUBMED|4016933', 'PUBMED|3516409', 'PUBMED|3893735', 'PUBMED|3893736']
Immunologic Memory;23144;428;['Organ or Tissue Function'];4;['PUBMED|8766034', 'PUBMED|15282848', 'PUBMED|12449559', 'PUBMED|15627129']
Disease;14188;575;['Diseases'];14;['PUBMED|9748855', 'PUBMED|10408532', 'PUBMED|9690139', 'PUBMED|10395579', 'PUBMED|9849799', 'PUBMED|9566402', 'PUBMED|11985388', 'PUBMED|12707077', 'PUBMED|11723684', 'PUBMED|19332696', 'PUBMED|11748369', 'PUBMED|10563232', 'PUBMED|16344534', 'PUBMED|11179022']
Disease of capillaries;149448;11766940;['Diseases'];1;['PUBMED|21428968']
Abuse;1921524;11766940;['Mental Illnesses'];1;['PUBMED|9280629']
Hydroxytryptamine;159276;471;['Organic Chemicals', 'Neuroreactive Substance or Biogenic Amine'];2;['PUBMED|7639613', 'PUBMED|11478927']
RNA, Messenger;38896;530;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];1;['PUBMED|22061836']
Cardiovascular system hereditary disorder;1840212;577;['Diseases'];1;['UMLS2012AA|MRREL']
Horner's syndrome pupil;397848;455;['Diseases'];1;['PUBMED|2689963']
lamotrigine;80714;459;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|10099862']
Transient Ischemic Attack;9184;455;['Diseases'];1;['PUBMED|12552045']
Microcirculation;28260;428;['Organ or Tissue Function'];2;['PUBMED|8048777', 'PUBMED|8228651']
Pentazocine;33528;459;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|15573677']
Vascular constriction (function);45902;471;['Organ or Tissue Function'];2;['PUBMED|9155868', 'PUBMED|1245632']
Phenelzine;34080;483;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|8573662', 'PUBMED|3654082']
Meniere Disease;27618;455;['Diseases'];1;['PUBMED|21469911']
olmesartan;1547854;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|16618270']
Eating Disorders;14936;475;['Mental Illnesses'];1;['PUBMED|19415427']
classic migraine with aura with status migrainosus;3686590;575;['Diseases'];1;['UMLS2012AA|MRREL']
Serotonin;40026;471;['Organic Chemicals', 'Neuroreactive Substance or Biogenic Amine'];7;['PUBMED|9629840', 'PUBMED|8374139', 'PUBMED|21737202', 'PUBMED|21631476', 'PUBMED|12934790', 'PUBMED|16732844', 'PUBMED|2252337']
Neurotic Disorders;30274;455;['Mental Illnesses'];1;['PUBMED|22193458']
Phenethylamine;90240;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|21252']
Cardiovascular Diseases;8550;455;['Diseases'];1;['PUBMED|19861375']
Cyclic AMP;2496;530;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];3;['PUBMED|17059437', 'PUBMED|15196297', 'PUBMED|9385754']
Adrenal Cortex Hormones;2678;483;['Steroid', 'Pharmacologic Substance', 'Hormone'];2;['PUBMED|17942818', 'PUBMED|18272089']
Hydroxymethylglutaryl-CoA Reductase Inhibitors;429578;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|16643563']
Livedo Reticularis;109762;11766940;['Diseases'];1;['PUBMED|12010382']
Acute Cerebrovascular Accidents;1020550;455;['Diseases'];1;['PUBMED|15913902']
Transient Ischemic Attack;9184;455;['Diseases'];2;['PUBMED|7388704', 'PUBMED|12552045']
Complement System Proteins;11118;530;['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];1;['PUBMED|4094641']
Choline;9892;483;['Organic Chemicals', 'Pharmacologic Substance', 'Biologically Active Substance'];1;['PUBMED|3954039']
Arginine;5012;11766928;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];1;['PUBMED|7828194']
Hemiparesis;20972;11766940;['Diseases'];1;['PUBMED|12005289']
Cotard's syndrome;1835832;11766940;['Mental Illnesses'];2;['PUBMED|8406649', 'PUBMED|12011289']
retinal migraine headache with intractable migraine and status migrainosus;3686644;530;['Diseases'];1;['UMLS2012AA|MRREL']
Cerebral Aneurysm;1247906;11766940;['Diseases'];1;['PUBMED|15404483']
Mandibular left first molar prosthesis;2318364;411;['Body Part, Organ, or Organ Component'];1;['PUBMED|8971111']
Chromosomes, Human, Pair 13;10148;411;['Cell Component'];1;['PUBMED|9229129']
noradrenergic;824572;530;['Molecular Function'];1;['PUBMED|10450363']
Suicide attempt;42174;11766870;['Mental Illnesses'];1;['PUBMED|22404176']
Vertiginous syndrome;297964;11766940;['Diseases'];1;['PUBMED|11667987']
Isoproterenol;24438;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|6087306']
Serotonin;40026;443;['Organic Chemicals', 'Neuroreactive Substance or Biogenic Amine'];1;['PUBMED|2516913']
Cyclandelate;12214;483;['Organic Chemicals', 'Pharmacologic Substance'];4;['PUBMED|1573338', 'PUBMED|9584874', 'PUBMED|7649498', 'PUBMED|8902255']
Nitric Oxide Synthase;132100;530;['Amino Acid, Peptide, or Protein', 'Enzyme'];1;['PUBMED|12421162']
Neurokinin A;42084;530;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine'];1;['PUBMED|2558365']
lipoproteinemia;2043260;11766940;['Diseases'];1;['PUBMED|5387598']
Calcium Channel;7958;530;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];1;['PUBMED|10202246']
SENSORY ATAXIC NEUROPATHY, DYSARTHRIA, AND OPHTHALMOPARESIS;2686824;467;['Diseases'];1;['UMLS2012AA|MRREL']
classic migraine with aura with intractable migraine and status migrainosus;3686588;577;['Diseases'];1;['UMLS2012AA|MRREL']
retinal migraine headache with status migrainosus;3686646;530;['Diseases'];1;['UMLS2012AA|MRREL']
Alcohols;3052;455;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|19486361', 'PUBMED|18231712']
Melatonin;27544;530;['Organic Chemicals', 'Pharmacologic Substance', 'Neuroreactive Substance or Biogenic Amine', 'Hormone'];7;['PUBMED|15910564', 'PUBMED|11578254', 'PUBMED|14728708', 'PUBMED|9209772', 'PUBMED|16548786', 'PUBMED|2714976', 'PUBMED|16298494']
Estradiol;16588;483;['Steroid', 'Pharmacologic Substance', 'Hormone'];1;['PUBMED|12656701']
Cerebrovascular accident;41926;11766940;['Diseases'];11;['PUBMED|3762955', 'PUBMED|17432214', 'PUBMED|9406203', 'PUBMED|9109736', 'PUBMED|7848119', 'PUBMED|20858559', 'PUBMED|8236332', 'PUBMED|17478165', 'PUBMED|14510085', 'PUBMED|15596418', 'PUBMED|12424306']
TGFBI gene;1935588;530;['Gene or Genome'];2;['PUBMED|15003170', 'PUBMED|17395138']
montelukast;328154;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|10759916']
Bromocriptine;7532;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|987029']
Menstruation;27680;530;['Organism Function'];11;['PUBMED|19076658', 'PUBMED|11200785', 'PUBMED|13275692', 'PUBMED|10487508', 'PUBMED|17300386', 'PUBMED|18990752', 'PUBMED|2289233', 'PUBMED|1065186', 'PUBMED|12998575', 'PUBMED|9399015', 'PUBMED|22367631']
Ionized calcium;449594;530;['Biologically Active Substance', 'Element, Ion, or Isotope'];1;['PUBMED|12010379']
GR-43175;980188;483;['Organic Chemicals', 'Pharmacologic Substance'];9;['PUBMED|2544288', 'PUBMED|2544289', 'PUBMED|2544286', 'PUBMED|2544287', 'PUBMED|8381056', 'PUBMED|2544280', 'PUBMED|2897560', 'PUBMED|1849764', 'PUBMED|1337261']
Myocardial Ischemia;143278;471;['Diseases'];1;['PUBMED|1774159']
Scotoma;39698;530;['Diseases'];1;['PUBMED|673964']
tonabersat;1031816;459;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|19570718', 'PUBMED|19723123']
Intractable ophthalmic migraine;2905824;577;['Diseases'];1;['UMLS2012AA|MRREL']
Oculomotor Nerve Paralysis;31138;11766940;['Diseases'];1;['PUBMED|9874541']
Pituitary Hormones;34798;483;['Amino Acid, Peptide, or Protein', 'Hormone'];1;['PUBMED|13274216']
Reserpine;38326;455;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|2516913']
Headache Disorders;469178;575;['Diseases'];59;['PUBMED|19222590', 'PUBMED|236645', 'PUBMED|10862316', 'PUBMED|19371522', 'PUBMED|19810879', 'PUBMED|8081520', 'PUBMED|18028378', 'PUBMED|19939188', 'PUBMED|18339350', 'PUBMED|8287282', 'PUBMED|8545137', 'PUBMED|17212988', 'PUBMED|12864760', 'PUBMED|15248058', 'PUBMED|20836574', 'PUBMED|8917290', 'PUBMED|15847028', 'PUBMED|19218020', 'PUBMED|17544646', 'PUBMED|7904984', 'PUBMED|12670664', 'PUBMED|19438727', 'PUBMED|11790814', 'PUBMED|18843470', 'PUBMED|16178941', 'PUBMED|19727632', 'PUBMED|15252726', 'PUBMED|12230591', 'PUBMED|22231680', 'PUBMED|17457710', 'PUBMED|18624806', 'PUBMED|9453267', 'PUBMED|19198100', 'PUBMED|7672955', 'PUBMED|22153828', 'PUBMED|16243216', 'PUBMED|11723194', 'PUBMED|22009991', 'PUBMED|15651339', 'PUBMED|15062251', 'PUBMED|19735535', 'PUBMED|15070571', 'PUBMED|14984680', 'PUBMED|21812905', 'PUBMED|17940921', 'PUBMED|9443593', 'PUBMED|16061523', 'PUBMED|19347025', 'PUBMED|17381554', 'PUBMED|20347391', 'PUBMED|16834949', 'PUBMED|11252154', 'PUBMED|17894929', 'PUBMED|9533672', 'PUBMED|9071264', 'PUBMED|18049496', 'PUBMED|14524731', 'PUBMED|9009469', 'PUBMED|9422240']
Adrenergic Receptor;37842;530;['Amino Acid, Peptide, or Protein', 'Receptor'];1;['PUBMED|7216753']
Complement System Proteins;11118;530;['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];6;['PUBMED|3657618', 'PUBMED|7413499', 'PUBMED|15955036', 'PUBMED|6669486', 'PUBMED|6871986', 'PUBMED|721457']
Inflammatory disorder;1851420;11766940;['Diseases'];1;['PUBMED|10524659']
Lisuride;26158;459;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|363486']
classic migraine with typical aura with intractable migraine and status migrainosus;3686604;577;['Diseases'];1;['UMLS2012AA|MRREL']
tertatolol;99204;436;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|1358648']
Entire middle cerebral artery;1808720;411;['Body Part, Organ, or Organ Component'];2;['PUBMED|10735768', 'PUBMED|8362427']
Reflex Epilepsy, Photosensitive;469148;11766940;['Diseases'];1;['PUBMED|8736031']
Dihydroergocornine;13882;530;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|14350151']
Receptor Gene;1933928;11766870;['Gene or Genome'];5;['PUBMED|21376262', 'PUBMED|19175383', 'PUBMED|16722981', 'PUBMED|9295094', 'PUBMED|19539700']
Dysphasia;1343378;467;['Mental Illnesses'];1;['PUBMED|20656713']
Nitroglycerin;19776;436;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|4968933', 'PUBMED|15036360']
Mitral Valve Prolapse Syndrome;28600;11766940;['Diseases'];1;['PUBMED|1790570']
factor V Leiden;456550;530;['Amino Acid, Peptide, or Protein'];1;['PUBMED|11279903']
Prostaglandins E;36464;530;['Eicosanoid', 'Biologically Active Substance'];1;['PUBMED|19154437']
Cancer-Predisposing Gene;1249130;11766870;['Gene or Genome'];1;['PUBMED|15513297']
Ergotamine;16354;483;['Organic Chemicals', 'Pharmacologic Substance'];2;['PUBMED|6406071', 'PUBMED|3899452']
Flunarizine;18088;436;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|6490242']
Tolosa-Hunt Syndrome;43896;11766940;['Diseases'];1;['PUBMED|8262787']
Depressive disorder;13256;11766940;['Mental Illnesses'];2;['PUBMED|16396660', 'PUBMED|4069989']
coenzyme Q10;66900;483;['Organic Chemicals', 'Pharmacologic Substance', 'Biologically Active Substance'];3;['PUBMED|17355497', 'PUBMED|11972582', 'PUBMED|15728298']
Pain Disorder;466512;575;['Mental Illnesses'];1;['PUBMED|12861665']
cyclic vomiting syndrome associated with intractable migraine and status migrainosus;3686910;530;['Diseases'];1;['UMLS2012AA|MRREL']
Migraine without aura, not refractory;2657328;577;['Diseases'];1;['UMLS2012AA|MRREL']
Giant Cell Arteritis;42994;11766940;['Diseases'];1;['PUBMED|7428989']
Trigeminal nerve structure;44606;411;['Body Part, Organ, or Organ Component'];1;['PUBMED|12426051']
Dextroamphetamine Sulfate;13434;483;['Organic Chemicals', 'Pharmacologic Substance'];1;['PUBMED|21485736']
cardiovascular risk factor;1162192;475;['Diseases'];1;['PUBMED|19496830']
basilar migraine headache with intractable migraine and status migrainosus;3688800;530;['Diseases'];1;['UMLS2012AA|MRREL']
Dependence;553320;455;['Mental Illnesses'];1;['PUBMED|1341823']
Immunoglobulins;23102;530;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Immunologic Factor'];4;['PUBMED|3657618', 'PUBMED|893089', 'PUBMED|6871986', 'PUBMED|3252686']
cytokine production;1920032;530;['Organism Function'];1;['PUBMED|10568217']
11-dehydro-thromboxane B2;48848;530;['Eicosanoid'];1;['PUBMED|8002323']
Glutamate;227832;471;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];3;['PUBMED|22435925', 'PUBMED|19126374', 'PUBMED|18416824']
